user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
1683055	Nyq	4534	0	3396	2013-11-25	2013-11-25	NULL	17	2013-12-24	2013-12-25
36232	VanillaIcee	329	0	0	2008-04-28	NULL	NULL	2	2008-04-28	2008-04-27
567237	NateOMatic	16405	0	11730	2011-12-09	2011-12-09	NULL	36	2012-12-30	2013-01-08
168825	Dseron	78	0	0	2009-09-11	NULL	NULL	2	2009-09-18	2009-09-16
470108	dfx	20	0	0	2012-10-26	NULL	NULL	3	2012-11-01	2012-10-29
11566	hwb	4	0	1	2012-09-02	2012-09-02	NULL	1	2012-09-02	2012-09-02
701271	rkd	1	0	0	2012-06-11	NULL	NULL	1	2012-06-11	2012-06-11
2041119	LarsBG	3	0	2	2014-08-09	2014-08-09	NULL	1	2014-08-09	2014-08-09
542122	anT	1	0	1	2012-03-13	2012-03-13	NULL	1	2012-03-13	2012-03-13
2147	Bridger	16254	76	5026	2007-08-10	2007-08-10	2007-08-10	31	2009-12-18	2008-05-24
360392	maxerickson	14884	0	7101	2013-01-26	2013-01-28	NULL	43	2014-06-16	2014-10-07
1240849	ediyes	15372	0	12821	2014-04-28	2014-04-28	NULL	39	2014-06-27	2014-06-20
902646	B-rock	15380	0	6851	2012-09-21	2012-09-21	NULL	30	2014-05-18	2014-04-27
35195	will l	15043	0	10403	2009-10-27	2009-10-27	NULL	38	2011-03-27	2011-03-03
321862	DanX	15513	0	13187	2010-11-15	2010-11-15	NULL	106	2013-03-21	2013-08-24
147510	woodpeck_fixbot	1010111	0	0	2009-08-11	NULL	NULL	44	2009-10-27	2009-10-24
31059	DaBear	2	0	0	2008-09-16	NULL	NULL	1	2008-09-16	2008-09-16
1758854	Helpist	12322	0	10111	2013-09-27	2013-09-27	NULL	61	2014-04-04	2014-04-16
354704	OceanVortex	11376	0	9278	2011-11-28	2011-11-28	NULL	10	2013-02-12	2012-12-29
257523	StonyBrookMap	8387	1	6228	2010-04-03	2010-04-03	2010-04-08	17	2010-05-08	2010-04-10
26307	jlert	5252	0	2436	2008-02-04	2008-02-04	NULL	22	2010-12-12	2008-12-31
1714546	dc157	4314	0	2415	2013-08-15	2013-08-15	NULL	25	2013-08-30	2013-08-31
1772901	jlert_nycbuildings	5476	0	5462	2013-10-12	2013-10-12	NULL	1	2013-10-12	2013-10-12
74937	emacsen	9948	0	2444	2011-08-31	2011-08-31	NULL	122	2013-08-23	2013-04-10
345833	sbook	8432	1	6235	2011-12-02	2011-12-02	2012-01-26	38	2012-07-27	2012-06-16
323757	Pepper	10984	0	7713	2010-09-08	2010-09-08	NULL	42	2011-08-20	2011-10-07
381909	JessAk71	6520	0	5608	2011-01-14	2011-01-14	NULL	16	2011-05-12	2011-05-08
105609	NYSDEClands	3617	0	3617	2009-03-11	2009-03-11	NULL	3	2009-03-11	2009-03-12
1952929	MikeGargiulo	4724	0	4619	2014-02-25	2014-02-25	NULL	11	2014-03-23	2014-03-27
131059	h4ck3rm1k3	3510	0	3476	2009-09-23	2009-09-23	NULL	9	2009-12-20	2009-12-21
1917473	aaron_nycbuildings	10836	0	1	2014-02-04	2014-02-04	NULL	4	2014-03-31	2014-03-07
139856	redsteakraw	3555	4	2360	2010-08-20	2010-08-20	2013-07-09	28	2012-07-07	2012-09-30
4951	PeterEastern	4489	0	415	2008-11-23	2008-11-23	NULL	23	2011-09-22	2009-04-02
1323363	kriscarle	3454	0	3361	2013-10-05	2013-10-05	NULL	1	2013-10-05	2013-10-05
73057	Otto Yamamoto	4679	0	38	2008-10-18	2008-11-19	NULL	8	2009-05-14	2008-12-28
134892	cityracks	4697	0	4697	2009-06-12	2009-06-12	NULL	1	2009-06-12	2009-06-12
494557	FitmanNJ	4340	0	3391	2011-08-08	2011-12-10	NULL	25	2012-12-02	2012-10-20
1772887	zingbot_nycbuildings	3194	0	3194	2013-10-12	2013-10-12	NULL	1	2013-10-12	2013-10-12
193146	majormajor42	9668	2	8625	2009-11-09	2009-11-09	2010-06-30	59	2011-04-13	2011-04-09
1772933	jeremyb_nycbuildings	4264	0	4262	2013-10-12	2013-10-12	NULL	1	2013-10-12	2013-10-12
1772893	chrismcnally_nycbuildings	4146	0	4133	2013-10-12	2013-10-12	NULL	1	2013-10-12	2013-10-12
29040	chrismcnally	4332	0	3050	2008-06-10	2008-06-10	NULL	180	2010-09-06	2009-11-01
589596	lxbarth	6930	0	6060	2012-09-01	2012-09-01	NULL	33	2014-02-12	2014-04-21
39330	chehrlic	3342	0	149	2008-10-29	2008-10-29	NULL	1	2008-10-29	2008-10-29
384894	Trex2001	5065	0	4770	2011-02-11	2011-02-11	NULL	12	2011-04-30	2011-04-19
1719931	dpawlyk	10467	0	8463	2013-08-23	2013-08-23	NULL	32	2013-12-28	2013-12-12
167109	scep	4534	0	2999	2009-09-04	2009-09-04	NULL	28	2010-11-22	2010-08-15
1380816	watame	7298	0	5672	2013-04-23	2013-04-23	NULL	27	2013-05-16	2013-05-20
1733245	mikecunningham	195	0	190	2013-09-11	2013-09-11	NULL	9	2013-12-03	2014-01-21
198504	Mappingzra	16	0	0	2009-11-17	NULL	NULL	1	2009-11-17	2009-11-17
395191	davisdo10	3	0	2	2011-01-14	2011-01-14	NULL	1	2011-01-13	2011-01-13
100491	Peter Bodtke	3	0	3	2012-03-13	2012-03-13	NULL	1	2012-03-12	2012-03-12
234940	jcr83	3	2	3	2013-06-16	2013-06-16	2013-06-16	1	2013-06-16	2013-06-16
44200	keinseier	3	0	1	2012-11-02	2012-11-02	NULL	3	2012-11-12	2012-11-12
722845	dhoch	3	0	0	2012-07-09	NULL	NULL	1	2012-07-09	2012-07-09
1681557	danillamou	3	0	3	2013-07-26	2013-07-26	NULL	1	2013-07-26	2013-07-26
2087539	pmakevin	3	0	3	2014-11-26	2014-11-26	NULL	3	2014-12-04	2014-12-04
463625	mikemelt	3	0	0	2011-05-31	NULL	NULL	1	2011-05-31	2011-05-31
1937368	Ingrid Carozzi	3	0	2	2014-02-16	2014-02-16	NULL	1	2014-02-15	2014-02-15
2209724	StubWorld	3	0	2	2014-07-24	2014-07-24	NULL	1	2014-07-24	2014-07-24
1004572	Studio Ray Recording Studios NY	3	0	1	2012-10-25	2012-10-25	NULL	2	2013-07-25	2013-04-25
1190212	Moovit Team	3	0	3	2014-05-14	2014-05-14	NULL	1	2014-05-14	2014-05-14
1924127	zahymurjee	3	0	0	2014-02-20	NULL	NULL	1	2014-02-19	2014-02-19
2173086	upworlder	3	0	1	2014-07-08	2014-07-08	NULL	1	2014-07-08	2014-07-08
1799223	Swifto	3	0	1	2013-11-08	2013-11-08	NULL	1	2013-11-08	2013-11-08
316694	Luiyo	3	0	1	2012-11-08	2012-11-08	NULL	2	2012-11-12	2012-11-10
1214132	Jim_SpeedLine	3	0	0	2013-10-09	NULL	NULL	1	2013-10-09	2013-10-09
2102078	Gotham Cookies	3	0	1	2014-06-01	2014-06-01	NULL	1	2014-06-01	2014-06-01
129420	baslow	3	0	2	2009-11-17	2009-11-17	NULL	1	2009-11-17	2009-11-17
1869556	Flygrip	3	0	2	2014-01-06	2014-01-06	NULL	1	2014-01-05	2014-01-05
2022006	Sara Schaeffer	3	0	1	2014-04-07	2014-04-07	NULL	1	2014-04-07	2014-04-07
663559	geochrome	3	0	1	2012-11-18	2012-11-18	NULL	1	2012-11-17	2012-11-17
1480053	NickConnolly	3	0	1	2014-04-28	2014-04-28	NULL	1	2014-04-28	2014-04-28
352313	chairthrower	3	0	1	2010-09-28	2010-09-28	NULL	1	2010-09-28	2010-09-28
356847	Hrishikesh Joshi	3	0	3	2010-12-06	2010-12-06	NULL	1	2010-12-06	2010-12-06
1916864	Nexus602	3	0	3	2014-02-03	2014-02-03	NULL	1	2014-02-03	2014-02-03
2300163	tymberry	3	0	2	2014-08-30	2014-08-30	NULL	1	2014-08-30	2014-08-30
100757	Kartografist	3	0	0	2009-02-19	NULL	NULL	1	2009-02-19	2009-02-19
2172981	birkbott	3	0	1	2014-07-08	2014-07-08	NULL	1	2014-07-08	2014-07-08
1424734	ethics	3	0	2	2013-05-07	2013-05-07	NULL	1	2013-05-07	2013-05-07
468620	jojokracko	3	0	2	2011-06-10	2011-06-10	NULL	1	2011-06-10	2011-06-10
1556401	lennykhazan	3	0	2	2013-06-17	2013-06-17	NULL	2	2013-07-23	2013-08-04
411866	teddym	3	0	0	2011-12-14	NULL	NULL	1	2011-12-14	2011-12-14
244754	Janjko	3	0	1	2013-07-10	2013-07-10	NULL	2	2013-09-03	2013-09-21
2207216	crimethink	3	0	3	2014-07-23	2014-07-23	NULL	1	2014-07-23	2014-07-23
1240683	bseto	3	0	2	2013-02-25	2013-02-27	NULL	2	2013-02-26	2013-02-26
1841877	Turtle Conservancy	3	0	1	2013-12-13	2013-12-13	NULL	1	2013-12-13	2013-12-13
525263	Chomsky1	3	0	2	2011-09-20	2011-09-20	NULL	1	2011-09-20	2011-09-20
188781	MelindaG	3	0	1	2009-10-21	2009-10-21	NULL	1	2009-10-21	2009-10-21
635484	Nrbelex	3	0	0	2012-03-21	NULL	NULL	2	2013-02-17	2013-06-08
632860	jtimson	3	0	2	2012-03-19	2012-03-19	NULL	1	2012-03-19	2012-03-19
340102	jeremybwc	3	0	1	2010-09-04	2010-09-04	NULL	2	2011-08-27	2011-12-24
1837381	aaadependablecesspoolservices	3	0	1	2013-12-10	2013-12-10	NULL	1	2013-12-10	2013-12-10
2187904	steve_mk	2	0	1	2014-07-15	2014-07-15	NULL	1	2014-07-15	2014-07-15
2108469	ginoa	2	0	2	2014-06-05	2014-06-05	NULL	1	2014-06-05	2014-06-05
22248	mgehling	2	0	1	2011-10-14	2011-10-14	NULL	1	2011-10-14	2011-10-14
1685421	bluechalk	2	0	2	2013-07-27	2013-07-27	NULL	1	2013-07-27	2013-07-27
2287150	Michael Sila	2	0	0	2014-08-24	NULL	NULL	1	2014-08-24	2014-08-24
307202	alester	2	0	0	2011-12-13	NULL	NULL	1	2011-12-13	2011-12-13
1617449	aceman444	2	0	0	2013-08-22	NULL	NULL	1	2013-08-22	2013-08-22
2203998	Harrison Fischberg	2	0	1	2014-07-22	2014-07-22	NULL	2	2014-07-23	2014-07-23
426323	vdm-moulin	2	0	2	2011-03-23	2011-03-23	NULL	1	2011-03-23	2011-03-23
1514664	Ivolino	2	0	2	2013-11-16	2013-11-16	NULL	1	2013-11-16	2013-11-16
22664	Frogo	2	0	2	2013-05-31	2013-05-31	NULL	1	2013-05-31	2013-05-31
529313	mnl1121	2	0	2	2011-09-29	2011-09-29	NULL	1	2011-09-29	2011-09-29
2093497	VishalPadwal	2	0	1	2014-05-26	2014-05-26	NULL	1	2014-05-26	2014-05-26
1888549	edtwist	2	0	1	2014-01-16	2014-01-16	NULL	1	2014-01-16	2014-01-16
628037	Sergiomvargas	2	0	2	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14
111209	cov	2	0	2	2014-05-02	2014-05-02	NULL	1	2014-05-02	2014-05-02
1425285	cruciald	2	0	2	2013-05-07	2013-05-07	NULL	1	2013-05-07	2013-05-07
25026	affa	2	0	1	2013-07-04	2013-07-04	NULL	1	2013-07-04	2013-07-04
1202902	JBOTTATU	2	0	2	2013-04-28	2013-04-28	NULL	1	2013-04-27	2013-04-27
22678	RutgersGIS	2	0	0	2007-12-30	NULL	NULL	1	2007-12-29	2007-12-29
603357	NextSevenTrain	2	0	2	2012-02-11	2012-02-11	NULL	1	2012-02-11	2012-02-11
1197690	lmh	2	0	1	2013-01-12	2013-01-12	NULL	1	2013-01-12	2013-01-12
499910	Barackbill	2	0	2	2011-08-02	2011-08-02	NULL	1	2011-08-02	2011-08-02
2197550	ike1187	2	0	2	2014-07-19	2014-07-19	NULL	1	2014-07-19	2014-07-19
2189073	hugoshen	2	0	1	2014-07-16	2014-07-16	NULL	1	2014-07-15	2014-07-15
2176164	DennisG13	2	0	0	2014-07-09	NULL	NULL	1	2014-07-09	2014-07-09
433369	zdk	2	0	1	2011-04-06	2011-04-06	NULL	1	2011-04-06	2011-04-06
1545465	Dave Guest	2	0	1	2013-06-20	2013-06-20	NULL	1	2013-06-20	2013-06-20
1428793	lemonjus	2	0	2	2013-05-08	2013-05-08	NULL	1	2013-05-08	2013-05-08
204106	ras0556	2	0	0	2009-12-02	NULL	NULL	1	2009-12-02	2009-12-02
2216794	Yoann Cribier	2	0	2	2014-07-29	2014-07-29	NULL	1	2014-07-29	2014-07-29
2253007	Chinmay Bhat	2	0	2	2014-08-11	2014-08-11	NULL	1	2014-08-11	2014-08-11
2237625	homeenergysolutionshunt	2	0	1	2014-08-07	2014-08-07	NULL	1	2014-08-07	2014-08-07
202587	xuan's map	2	0	0	2009-11-28	NULL	NULL	1	2009-11-27	2009-11-27
1596452	mattw86	2	0	2	2013-06-29	2013-06-29	NULL	1	2013-06-29	2013-06-29
585657	Peter Black	2	0	0	2012-05-01	NULL	NULL	1	2012-05-01	2012-05-01
308093	jenz2795	2	0	2	2010-06-22	2010-06-22	NULL	1	2010-06-22	2010-06-22
2295722	doublecheckbuilders	1	0	1	2014-08-28	2014-08-28	NULL	1	2014-08-28	2014-08-28
NULL	NULL	92	0	0	2007-10-24	NULL	NULL	2	2007-10-27	2007-10-28
48176	JimmyRocks	17957	0	16943	2010-04-04	2010-04-04	NULL	29	2013-09-30	2013-07-04
1769120	LizBarry_nycbuildings	16666	0	16632	2013-10-08	2013-10-08	NULL	2	2013-10-10	2013-10-12
154730	Olek Lorenc	9076	0	6135	2009-09-20	2009-09-20	NULL	23	2010-01-27	2010-04-28
1823104	Jeffersons2	1	0	1	2013-11-29	2013-11-29	NULL	1	2013-11-29	2013-11-29
2318	Latze	17497	0	17294	2011-01-09	2011-01-09	NULL	8	2012-05-21	2013-03-02
2373713	diluccis1	4	0	0	2014-10-02	NULL	NULL	1	2014-10-02	2014-10-02
31573	SPQRobin	1	0	1	2012-07-02	2012-07-02	NULL	1	2012-07-02	2012-07-02
33072	hh42	1	0	1	2012-10-06	2012-10-06	NULL	1	2012-10-06	2012-10-06
33757	Minh Nguyen	1	0	0	2010-08-08	NULL	NULL	1	2010-08-08	2010-08-08
313192	Ohr	1	0	0	2012-11-07	NULL	NULL	1	2012-11-07	2012-11-07
366701	rhvanwinkle	5	0	4	2010-11-03	2010-11-03	NULL	1	2010-11-03	2010-11-03
2385419	James Shim	6	0	6	2014-10-08	2014-10-08	NULL	1	2014-10-08	2014-10-08
100643	Brett Camper	18707	1	18465	2009-02-22	2009-02-22	2009-10-30	23	2010-02-21	2009-10-26
160718	mothoople	2	0	0	2009-09-23	NULL	NULL	1	2009-09-23	2009-09-23
2481351	ori333	7	0	7	2014-11-23	2014-11-23	NULL	2	2014-11-24	2014-11-24
1295000	ADVGIS	6	0	5	2013-03-26	2013-03-26	NULL	1	2013-03-26	2013-03-26
2557644	mikeybonez28	1319	0	1316	2015-01-07	2015-01-07	NULL	2	2015-01-07	2015-01-07
69265	Leo22	7	0	0	2014-04-16	NULL	NULL	1	2014-04-16	2014-04-16
5974	samlarsen1	1	0	0	2012-11-24	NULL	NULL	1	2012-11-24	2012-11-24
279215	ehd	1	0	0	2010-04-30	NULL	NULL	1	2010-04-30	2010-04-30
1687166	U20	9	0	0	2013-09-28	NULL	NULL	1	2013-09-28	2013-09-28
1781294	Rub21_nycbuildings	4242609	0	4231897	2013-10-31	2013-10-31	NULL	63	2014-03-10	2014-03-10
411244	RobJN	13	0	7	2012-11-04	2012-11-04	NULL	1	2012-11-04	2012-11-04
1813057	parkingsystemsvalleystream	2	0	1	2013-11-20	2013-11-20	NULL	1	2013-11-20	2013-11-20
722137	OSMF Redaction Account	1145	0	0	2012-07-18	NULL	NULL	1	2012-07-18	2012-07-18
2235982	Googs84	5	0	0	2014-08-05	NULL	NULL	2	2014-08-05	2014-08-05
1861841	fazooli	21	0	20	2013-12-31	2013-12-31	NULL	1	2013-12-30	2013-12-30
1779055	jeremysze	14	0	12	2013-10-18	2013-10-18	NULL	1	2013-10-18	2013-10-18
1201956	sorabji	5	0	4	2014-07-16	2014-07-16	NULL	3	2014-07-20	2014-07-19
1911360	kaschig	1	0	0	2014-01-31	NULL	NULL	1	2014-01-31	2014-01-31
152289	cgu66	41	0	0	2009-10-01	NULL	NULL	31	2011-11-24	2011-12-04
430280	martiantim	1	0	1	2012-08-26	2012-08-26	NULL	1	2012-08-26	2012-08-26
451047	davidsmcnally	51	0	20	2011-05-07	2011-05-08	NULL	5	2012-05-27	2012-04-11
225442	Loll78	10	0	8	2012-02-10	2012-02-10	NULL	2	2012-03-31	2012-03-31
605632	swax	47	0	36	2013-08-26	2013-08-26	NULL	1	2013-08-26	2013-08-26
286977	Shoot	1	0	0	2010-05-14	NULL	NULL	1	2010-05-14	2010-05-14
322785	BCNorwich	137	0	49	2012-11-23	2012-12-08	NULL	6	2013-07-02	2013-11-06
323054	Abendsegler	8	0	0	2012-10-18	NULL	NULL	1	2012-10-18	2012-10-18
544776	Roger Wetherall	3	0	3	2011-10-27	2011-10-27	NULL	1	2011-10-27	2011-10-27
174328	gshak-5	2	0	0	2009-09-17	NULL	NULL	1	2009-09-17	2009-09-17
368261	Schlichtman	20	0	14	2010-11-08	2010-11-08	NULL	1	2010-11-07	2010-11-07
1719871	tomn101	1	0	1	2013-08-20	2013-08-20	NULL	1	2013-08-20	2013-08-20
511046	ticktock1	3	0	3	2011-08-24	2011-08-24	NULL	1	2011-08-23	2011-08-23
62654	fuego	13	0	5	2009-01-17	2009-01-17	NULL	1	2009-01-17	2009-01-17
1360916	Chisj307	14	0	12	2013-05-19	2013-05-19	NULL	1	2013-05-19	2013-05-19
2007172	Stevoisiak	30	0	30	2014-03-28	2014-03-28	NULL	1	2014-03-28	2014-03-28
1072240	cmif4	691	0	585	2013-07-12	2013-07-12	NULL	4	2013-12-03	2013-12-16
1816453	Scott Statland	537	0	445	2013-11-23	2013-11-23	NULL	3	2013-11-25	2013-11-26
2086249	giannitsatown	17	0	15	2014-05-21	2014-05-21	NULL	1	2014-05-21	2014-05-21
90271	noelb	518	0	372	2009-04-07	2009-04-07	NULL	5	2009-11-26	2009-12-29
189782	Norfolkadam	109	0	109	2013-04-25	2013-04-25	NULL	1	2013-04-25	2013-04-25
751435	mhilbush	91	0	91	2012-07-22	2012-07-22	NULL	1	2012-07-22	2012-07-22
2421157	asrtiop	5	0	5	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
447205	Coco Niko	3	0	2	2011-04-30	2011-04-30	NULL	1	2011-04-30	2011-04-30
1361328	sherikama	12	0	12	2014-03-07	2014-03-07	NULL	2	2014-03-09	2014-03-09
367643	AlexTheTux	214	0	150	2012-11-25	2012-11-25	NULL	2	2012-11-25	2012-11-24
1743170	11_silver_11	1	0	0	2013-09-12	NULL	NULL	1	2013-09-12	2013-09-12
243254	direct	5	0	0	2010-03-08	NULL	NULL	1	2010-03-08	2010-03-08
538912	Myun Song	1	0	0	2011-10-17	NULL	NULL	1	2011-10-16	2011-10-16
2588518	BulletProof	6	0	5	2015-01-19	2015-01-19	NULL	1	2015-01-19	2015-01-19
614432	papajuans	5	0	2	2012-03-01	2012-03-01	NULL	1	2012-03-01	2012-03-01
2310384	mikehuang10023	75	0	75	2014-09-04	2014-09-04	NULL	1	2014-09-04	2014-09-04
21162	apeb12	1	0	1	2014-04-19	2014-04-19	NULL	1	2014-04-19	2014-04-19
586389	D!zzy	1	0	0	2013-07-05	NULL	NULL	1	2013-07-05	2013-07-05
238370	BlaueBlüte	1529	0	1192	2011-10-08	2011-10-08	NULL	9	2012-08-29	2013-09-12
2261827	williamlandscapingmasonry	1	0	1	2014-08-14	2014-08-14	NULL	1	2014-08-14	2014-08-14
51722	Chris Parker	90	0	85	2012-08-17	2012-08-17	NULL	1	2012-08-17	2012-08-17
356178	dan3831	7	0	6	2011-01-11	2011-01-11	NULL	3	2011-04-29	2011-04-14
324905	grfreel	6	0	3	2010-07-28	2010-07-28	NULL	1	2010-07-28	2010-07-28
194922	shypanda	297	0	243	2013-03-14	2013-03-14	NULL	2	2013-03-15	2013-03-15
250197	teollisuus	305	0	251	2011-01-21	2011-01-21	NULL	1	2011-01-21	2011-01-21
637394	arielt	16	0	13	2012-03-23	2012-03-23	NULL	2	2012-03-26	2012-03-29
1053526	justinnj	1	0	1	2012-11-15	2012-11-15	NULL	1	2012-11-14	2012-11-14
542821	Salex Cleaning Service	1	0	1	2011-10-24	2011-10-24	NULL	1	2011-10-24	2011-10-24
1830426	TriTech Computer Consulting	5	0	1	2013-12-05	2013-12-05	NULL	1	2013-12-05	2013-12-05
30521	dufekin	33870	0	22189	2011-06-29	2011-06-29	NULL	40	2012-05-05	2012-06-22
1940270	LCole	98	0	97	2014-02-25	2014-02-25	NULL	2	2014-02-25	2014-02-25
320428	swulfson	6	0	4	2010-07-17	2010-07-17	NULL	2	2011-05-30	2011-09-12
757042	rad1ance	765	0	649	2012-07-31	2012-07-31	NULL	19	2013-06-05	2013-07-22
583870	becw	34	0	20	2012-09-26	2012-09-26	NULL	1	2012-09-26	2012-09-26
912313	amitreddy	2	0	1	2012-09-23	2012-09-23	NULL	1	2012-09-23	2012-09-23
26818	David & Christine Schmitt	4	0	2	2012-11-07	2012-11-07	NULL	1	2012-11-07	2012-11-07
1917941	contributor4353454	2	0	1	2014-02-04	2014-02-04	NULL	1	2014-02-04	2014-02-04
558264	ojuniour	4	0	4	2012-01-16	2012-01-16	NULL	1	2012-01-15	2012-01-15
706714	bullmap	43	0	8	2014-05-04	2014-05-04	NULL	1	2014-05-04	2014-05-04
1241595	Runis	1	0	0	2013-05-13	NULL	NULL	1	2013-05-13	2013-05-13
523763	wdd	64	0	31	2011-09-19	2011-09-19	NULL	1	2011-09-18	2011-09-18
2124375	hampton11235	50	0	50	2014-06-14	2014-06-14	NULL	1	2014-06-14	2014-06-14
1850423	andzan75	447	0	446	2014-02-03	2014-02-03	NULL	2	2014-02-13	2014-02-10
1938128	sraposa17	5	0	5	2014-02-16	2014-02-16	NULL	1	2014-02-16	2014-02-16
39150	account_deleted_1011	1	0	0	2009-04-11	NULL	NULL	1	2009-04-11	2009-04-11
166969	occcy	66	0	66	2013-02-19	2013-02-19	NULL	1	2013-02-19	2013-02-19
969278	gnadig	5	0	5	2012-10-11	2012-10-11	NULL	2	2012-10-12	2012-10-12
1455887	vancoz13	95	0	60	2013-05-16	2013-05-16	NULL	2	2013-05-18	2013-05-19
2306461	justthewritetouchmanhass	6	0	6	2014-09-02	2014-09-02	NULL	1	2014-09-02	2014-09-02
2017711	teresascafenewyork	1	0	0	2014-04-04	NULL	NULL	1	2014-04-04	2014-04-04
1201835	alexhnyc	9	0	7	2013-01-16	2013-01-16	NULL	1	2013-01-16	2013-01-16
154991	robhedrick	30	0	1	2009-09-15	2009-10-09	NULL	3	2009-09-22	2009-10-01
628017	Cooks Crafts	12	0	11	2012-03-14	2012-03-14	NULL	1	2012-03-14	2012-03-14
355242	Bryce C Nesbitt	90	0	84	2011-09-16	2011-09-16	NULL	9	2012-10-06	2012-03-13
2424765	StefanvR	29	0	8	2014-11-02	2014-11-07	NULL	4	2014-11-06	2014-11-07
1872240	dbk514	92	0	0	2014-01-08	NULL	NULL	1	2014-01-08	2014-01-08
1917603	cohe	1	0	0	2014-02-05	NULL	NULL	1	2014-02-05	2014-02-05
1884277	soldat	2	0	2	2014-01-15	2014-01-15	NULL	1	2014-01-14	2014-01-14
7901	tommischneider	178	17	178	2007-06-23	2007-06-23	2007-06-23	3	2007-07-28	2007-07-03
147871	Helder	4	0	4	2009-08-24	2009-08-24	NULL	1	2009-08-24	2009-08-24
1963284	picklebobdogflog	2	0	2	2014-03-02	2014-03-02	NULL	1	2014-03-02	2014-03-02
1312921	Rahim Rattani	63	0	60	2013-03-29	2013-03-29	NULL	1	2013-03-29	2013-03-29
550406	akobet	121	0	36	2011-11-07	2011-11-07	NULL	3	2012-02-04	2012-01-25
1698931	Nwhysel	8	0	1	2014-12-06	2014-12-06	NULL	1	2014-12-06	2014-12-06
1938445	BZDocent	14	0	10	2014-02-16	2014-02-16	NULL	1	2014-02-16	2014-02-16
1629001	BigEdward	5	0	4	2013-07-18	2013-07-18	NULL	1	2013-07-18	2013-07-18
121748	saranrapjs	60	0	47	2009-05-04	2009-05-04	NULL	3	2010-11-13	2010-12-17
595221	matthieun	162	0	95	2012-10-26	2012-10-26	NULL	7	2013-12-25	2014-03-20
299453	bill shamam	5	0	3	2010-09-04	2010-09-04	NULL	1	2010-09-04	2010-09-04
691302	Mansing	47	0	14	2012-05-29	2012-05-29	NULL	1	2012-05-29	2012-05-29
58969	lwu	213	0	91	2008-08-13	2008-08-13	NULL	1	2008-08-12	2008-08-12
2379629	VBaamonde	38	0	37	2014-10-06	2014-10-06	NULL	1	2014-10-05	2014-10-05
178610	Pab09	199	0	197	2013-05-04	2013-05-04	NULL	1	2013-05-04	2013-05-04
1795634	pzaldon	309	0	307	2013-11-06	2013-11-06	NULL	1	2013-11-06	2013-11-06
86703	Kla_Ger	709	0	410	2011-09-13	2011-09-13	NULL	5	2012-06-02	2012-05-14
69628	vsandre	1	0	0	2010-11-08	NULL	NULL	1	2010-11-08	2010-11-08
893892	Teri Ann	8	0	4	2012-09-18	2012-09-18	NULL	1	2012-09-18	2012-09-18
1964710	nodothis	4	0	4	2014-03-03	2014-03-03	NULL	1	2014-03-03	2014-03-03
967119	jwass	24	0	2	2014-06-04	2014-06-04	NULL	2	2014-08-24	2014-08-24
219297	ZeLonewolf	545	1	73	2010-01-22	2010-01-22	2010-02-15	5	2010-05-21	2010-02-12
1872467	fishpoker	12	0	12	2014-01-07	2014-01-07	NULL	1	2014-01-07	2014-01-07
2142882	thomasbkd	1	0	0	2014-06-24	NULL	NULL	1	2014-06-24	2014-06-24
52797	hofoen	63	0	4	2012-10-18	2014-07-03	NULL	4	2014-03-20	2014-11-22
696093	mks234	610	0	1	2012-06-06	2012-06-06	NULL	1	2012-06-06	2012-06-06
385682	tylerchill	8	0	2	2012-04-21	2012-04-21	NULL	2	2013-02-07	2013-07-03
581277	meihou	8	0	7	2015-01-04	2015-01-04	NULL	2	2015-01-08	2015-01-08
582974	jamuhj	8	0	8	2012-01-09	2012-01-09	NULL	1	2012-01-09	2012-01-09
42123	Ropino	17	0	12	2009-09-15	2012-12-08	NULL	6	2012-02-23	2012-08-28
479722	Richard Kronenberg	1	0	1	2011-06-30	2011-06-30	NULL	1	2011-06-30	2011-06-30
585543	kd614	532	0	312	2012-01-13	2012-02-02	NULL	15	2012-07-06	2012-05-27
637417	brandonyarde	5	0	5	2012-03-23	2012-03-23	NULL	1	2012-03-23	2012-03-23
435136	Kiyoshi	37	0	29	2011-04-10	2011-04-10	NULL	2	2011-04-16	2011-04-17
1836535	GITNE	3	0	0	2014-01-12	NULL	NULL	1	2014-01-12	2014-01-12
381545	datadata	1	0	0	2010-12-09	NULL	NULL	1	2010-12-08	2010-12-08
290437	Robert E Grant	3	0	3	2010-08-01	2010-08-01	NULL	1	2010-08-01	2010-08-01
289073	bjimba	842	0	700	2013-05-07	2013-05-07	NULL	3	2013-05-09	2013-05-07
359124	horstie1	3	0	3	2010-10-23	2010-10-23	NULL	1	2010-10-23	2010-10-23
48940	roop	201	0	176	2008-07-01	2008-07-01	NULL	3	2008-07-08	2008-07-02
93505	Nolbelt San	2	0	1	2014-12-17	2014-12-17	NULL	1	2014-12-17	2014-12-17
2190983	MoleHouse	1	0	1	2014-07-16	2014-07-16	NULL	1	2014-07-16	2014-07-16
1240292	Brajesh Baikar	1	0	1	2013-03-04	2013-03-04	NULL	1	2013-03-04	2013-03-04
1378203	lcmallonee	9	0	4	2013-04-21	2013-04-21	NULL	1	2013-04-21	2013-04-21
