uid	username	year	nodes	nodes_created	cur nodes	ways	ways_created	cur ways	relations	relations_created	cur rels	total edits	current objects	persistence
18675	JeLuF	2009-02-01	52532	13219	10607	1990	1037	309	0	0	0	54522	10916	0.2002127581526723
18675	JeLuF	2009-03-01	23463	7366	7386	1155	609	203	0	0	0	24618	7589	0.30827037127305223
18675	JeLuF	2009-06-01	3589	3291	2716	627	478	167	2	0	0	4218	2883	0.6834992887624467
18675	JeLuF	2009-07-01	2546	2504	1869	406	327	148	0	0	0	2952	2017	0.6832655826558266
18675	JeLuF	2010-01-01	15088	13522	11713	1610	1311	736	9	2	0	16707	12449	0.7451367690189741
18675	JeLuF	2010-02-01	1300	1255	1094	194	167	104	1	0	0	1495	1198	0.8013377926421404
18675	JeLuF	2010-03-01	12418	12241	11172	986	801	317	6	3	2	13410	11491	0.8568978374347502
18675	JeLuF	2010-05-01	1920	1901	1717	255	223	155	0	0	0	2175	1872	0.8606896551724138
18675	JeLuF	2010-07-01	1540	1411	1443	111	86	39	0	0	0	1651	1482	0.8976377952755905
18675	JeLuF	2010-08-01	3627	3424	3207	174	132	69	4	1	0	3805	3276	0.8609724047306176
18675	JeLuF	2010-09-01	8219	7923	8004	483	370	283	18	2	1	8720	8288	0.9504587155963303
18675	JeLuF	2010-10-01	1451	1424	1376	127	90	80	3	0	0	1581	1456	0.9209361163820367
18675	JeLuF	2010-11-01	2924	2780	2813	267	201	176	5	0	0	3196	2989	0.9352315394242804
18675	JeLuF	2012-01-01	0	0	0	0	0	0	0	0	0	0	0	0
18675	JeLuF	2012-03-01	0	0	0	0	0	0	0	0	0	0	0	0
18675	JeLuF	2012-06-01	74	60	38	20	18	7	0	0	0	94	45	0.4787234042553192
18675	JeLuF	2013-01-01	1297	1288	1258	100	74	60	12	0	0	1409	1318	0.9354151880766501
18675	JeLuF	2013-02-01	1220	1201	1097	237	165	95	1	0	0	1458	1192	0.8175582990397805
18675	JeLuF	2013-10-01	1038	1023	1013	67	44	29	5	0	0	1110	1042	0.9387387387387387
18675	JeLuF	2014-01-01	15	15	14	3	3	3	0	0	0	18	17	0.9444444444444444
18675	JeLuF	2014-11-01	347	344	346	17	16	16	0	0	0	364	362	0.9945054945054945
18675	JeLuF	2015-11-01	58	56	57	8	3	7	2	0	1	68	65	0.9558823529411765
481116	bigalxyz123	2011-11-01	5015	4728	3708	1149	416	153	0	0	0	6164	3861	0.6263789746917586
481116	bigalxyz123	2011-12-01	38412	35232	33134	5192	3565	1411	10	0	1	43614	34546	0.7920851102856881
481116	bigalxyz123	2012-01-01	17625	16061	15490	2992	1837	1050	1	0	0	20618	16540	0.8022116597148123
481116	bigalxyz123	2012-02-01	12285	11062	11512	1291	975	594	0	0	0	13576	12106	0.8917206835592222
481116	bigalxyz123	2012-03-01	449	136	392	50	12	12	0	0	0	499	404	0.8096192384769539
481116	bigalxyz123	2012-09-01	287	283	266	33	27	0	0	0	0	320	266	0.83125
481116	bigalxyz123	2013-01-01	399	392	370	42	33	1	0	0	0	441	371	0.8412698412698413
481116	bigalxyz123	2013-02-01	1729	1636	1690	224	157	85	0	0	0	1953	1775	0.9088581669226831
481116	bigalxyz123	2013-03-01	131	128	130	15	9	13	0	0	0	146	143	0.9794520547945206
481116	bigalxyz123	2013-04-01	26	11	16	5	1	0	0	0	0	31	16	0.5161290322580645
481116	bigalxyz123	2013-05-01	1179	1159	1170	69	54	59	0	0	0	1248	1229	0.9847756410256411
481116	bigalxyz123	2013-06-01	404	289	286	38	22	16	2	0	2	444	304	0.6846846846846847
481116	bigalxyz123	2013-08-01	56	45	55	12	9	10	0	0	0	68	65	0.9558823529411765
481116	bigalxyz123	2013-09-01	1504	1417	1479	118	94	104	0	0	0	1622	1583	0.9759556103575833
481116	bigalxyz123	2013-11-01	13	8	12	2	2	2	0	0	0	15	14	0.9333333333333333
481116	bigalxyz123	2013-12-01	624	623	545	59	55	45	0	0	0	683	590	0.8638360175695461
481116	bigalxyz123	2014-01-01	177	128	174	27	23	25	0	0	0	204	199	0.9754901960784313
481116	bigalxyz123	2014-02-01	736	649	540	200	108	173	0	0	0	936	713	0.7617521367521367
481116	bigalxyz123	2014-03-01	1374	1304	1326	1362	124	1234	0	0	0	2736	2560	0.935672514619883
481116	bigalxyz123	2014-05-01	170	149	168	20	16	0	0	0	0	190	168	0.8842105263157894
481116	bigalxyz123	2014-09-01	1237	967	1156	214	150	167	0	0	0	1451	1323	0.9117849758787043
481116	bigalxyz123	2014-10-01	396	186	363	47	20	42	0	0	0	443	405	0.9142212189616253
481116	bigalxyz123	2014-11-01	4765	2590	3830	492	231	333	1	0	1	5258	4164	0.7919360973754279
481116	bigalxyz123	2014-12-01	364	308	363	20	8	20	0	0	0	384	383	0.9973958333333334
481116	bigalxyz123	2015-02-01	451	13	448	41	3	39	0	0	0	492	487	0.9898373983739838
481116	bigalxyz123	2015-04-01	56	25	53	11	5	9	0	0	0	67	62	0.9253731343283582
481116	bigalxyz123	2015-05-01	598	281	597	35	24	35	0	0	0	633	632	0.9984202211690363
481116	bigalxyz123	2015-08-01	152	108	151	15	11	14	0	0	0	167	165	0.9880239520958084
481116	bigalxyz123	2015-09-01	18	7	17	5	1	5	0	0	0	23	22	0.9565217391304348
481116	bigalxyz123	2015-10-01	1690	1195	1685	147	70	144	0	0	0	1837	1829	0.9956450734893849
481116	bigalxyz123	2015-11-01	98	98	97	8	7	8	0	0	0	106	105	0.9905660377358491
481116	bigalxyz123	2016-01-01	997	736	996	90	58	90	0	0	0	1087	1086	0.9990800367985281
150368	Cicerone	2009-08-01	176	151	160	107	40	54	0	0	0	283	214	0.7561837455830389
150368	Cicerone	2009-09-01	173	129	139	49	21	12	1	0	0	223	151	0.6771300448430493
150368	Cicerone	2009-12-01	22	0	13	1	0	0	0	0	0	23	13	0.5652173913043478
150368	Cicerone	2010-03-01	166	104	124	60	34	20	0	0	0	226	144	0.6371681415929203
150368	Cicerone	2010-04-01	153	151	110	28	26	0	0	0	0	181	110	0.6077348066298343
150368	Cicerone	2010-06-01	33	33	26	10	7	7	0	0	0	43	33	0.7674418604651163
150368	Cicerone	2010-09-01	24202	23930	18489	6168	5204	3117	2	0	0	30372	21606	0.7113789016199131
150368	Cicerone	2010-10-01	6058	5972	5016	1200	971	580	10	0	0	7268	5596	0.7699504678040726
150368	Cicerone	2010-11-01	7509	7455	5566	1575	1344	752	5	0	0	9089	6318	0.6951259764550556
150368	Cicerone	2010-12-01	15520	15222	11031	3360	2779	1160	83	0	0	18963	12191	0.6428835099931446
150368	Cicerone	2011-01-01	22643	22344	17371	4980	4184	2562	1	0	0	27624	19933	0.7215826817260353
150368	Cicerone	2011-02-01	10715	10616	8350	2425	2021	1234	5	0	0	13145	9584	0.7290985165462153
17497	katpatuka	2007-12-01	0	0	0	1	0	0	0	0	0	1	0	0
17497	katpatuka	2008-01-01	1	0	0	9	0	4	0	0	0	10	4	0.4
17497	katpatuka	2008-02-01	6792	4892	2884	1027	266	112	0	0	0	7819	2996	0.38316920322291853
17497	katpatuka	2008-03-01	6859	5924	4058	2605	750	168	0	0	0	9464	4226	0.44653423499577344
17497	katpatuka	2008-04-01	1145	892	327	216	61	20	0	0	0	1361	347	0.25495958853783984
17497	katpatuka	2008-07-01	424	382	192	116	46	9	1	0	0	541	201	0.37153419593345655
17497	katpatuka	2008-08-01	3821	3329	2804	225	78	6	0	0	0	4046	2810	0.69451309935739
17497	katpatuka	2008-09-01	0	0	0	0	0	0	1	0	0	1	0	0
17497	katpatuka	2008-10-01	2707	331	328	125	42	18	2	0	0	2834	346	0.12208892025405788
17497	katpatuka	2008-11-01	3	0	0	1	0	0	0	0	0	4	0	0
17497	katpatuka	2008-12-01	4358	1106	917	77	33	10	0	0	0	4435	927	0.20901916572717025
17497	katpatuka	2009-01-01	0	0	0	0	0	0	0	0	0	0	0	0
17497	katpatuka	2009-02-01	39	16	14	7	3	0	1	0	0	47	14	0.2978723404255319
17497	katpatuka	2009-03-01	830	161	60	52	22	2	1	0	0	883	62	0.07021517553793885
17497	katpatuka	2009-04-01	955	948	692	906	67	308	0	0	0	1861	1000	0.537345513164965
17497	katpatuka	2009-05-01	107	83	70	241	5	43	0	0	0	348	113	0.32471264367816094
17497	katpatuka	2009-06-01	904	822	785	142	31	18	48	0	0	1094	803	0.7340036563071298
17497	katpatuka	2009-07-01	942	926	899	52	24	6	1	0	0	995	905	0.9095477386934674
17497	katpatuka	2009-08-01	395	385	223	33	7	5	4	2	0	432	228	0.5277777777777778
17497	katpatuka	2009-09-01	2315	2020	1431	130	60	12	1	0	0	2446	1443	0.5899427636958299
17497	katpatuka	2009-10-01	444	441	394	26	12	3	3	0	0	473	397	0.8393234672304439
17497	katpatuka	2009-12-01	1014	1006	978	18	15	2	4	1	0	1036	980	0.9459459459459459
17497	katpatuka	2010-01-01	14	8	7	11	0	2	4	0	0	29	9	0.3103448275862069
17497	katpatuka	2010-02-01	1943	1943	1790	60	35	17	5	1	0	2008	1807	0.8999003984063745
17497	katpatuka	2010-03-01	356	352	247	101	42	10	4	0	0	461	257	0.5574837310195228
17497	katpatuka	2010-04-01	56	49	52	10	5	0	0	0	0	66	52	0.7878787878787878
17497	katpatuka	2010-05-01	1650	1580	1265	31	18	12	4	0	0	1685	1277	0.7578635014836795
17497	katpatuka	2010-06-01	77	75	69	6	3	1	1	0	0	84	70	0.8333333333333334
17497	katpatuka	2010-07-01	168	141	61	14	5	3	17	0	0	199	64	0.32160804020100503
17497	katpatuka	2010-08-01	653	2	619	8	1	6	7	1	0	668	625	0.9356287425149701
17497	katpatuka	2010-09-01	1219	1148	1064	143	79	43	6	2	1	1368	1108	0.8099415204678363
17497	katpatuka	2010-10-01	1050	912	701	146	80	21	26	6	0	1222	722	0.5908346972176759
17497	katpatuka	2010-11-01	3369	3137	2837	365	194	94	63	18	2	3797	2933	0.7724519357387412
17497	katpatuka	2010-12-01	2	1	2	6	2	0	14	2	0	22	2	0.09090909090909091
17497	katpatuka	2011-01-01	0	0	0	0	0	0	6	0	0	6	0	0
17497	katpatuka	2011-02-01	0	0	0	0	0	0	1	0	0	1	0	0
17497	katpatuka	2011-03-01	0	0	0	1	0	1	11	0	0	12	1	0.08333333333333333
17497	katpatuka	2011-05-01	0	0	0	0	0	0	5	0	0	5	0	0
17497	katpatuka	2011-07-01	3	3	2	1	1	0	7	0	0	11	2	0.18181818181818182
17497	katpatuka	2011-08-01	413	408	247	21	7	0	8	0	0	442	247	0.5588235294117647
17497	katpatuka	2011-09-01	2097	2008	1772	231	176	76	38	25	10	2366	1858	0.7852916314454776
17497	katpatuka	2011-10-01	521	458	460	72	39	26	31	0	0	624	486	0.7788461538461539
17497	katpatuka	2011-11-01	627	616	466	71	56	43	13	1	1	711	510	0.7172995780590717
17497	katpatuka	2011-12-01	72	71	67	2	2	2	1	0	0	75	69	0.92
17497	katpatuka	2012-01-01	1128	1125	1043	37	34	29	2	0	0	1167	1072	0.9185946872322194
17497	katpatuka	2012-02-01	948	871	927	78	68	58	16	0	3	1042	988	0.9481765834932822
17497	katpatuka	2012-03-01	0	0	0	3	0	0	8	0	0	11	0	0
17497	katpatuka	2012-04-01	447	395	421	66	30	33	4	1	1	517	455	0.8800773694390716
17497	katpatuka	2012-05-01	451	420	445	16	15	8	1	1	0	468	453	0.967948717948718
17497	katpatuka	2012-07-01	9	1	3	1	0	0	12	0	0	22	3	0.13636363636363635
17497	katpatuka	2012-08-01	1800	1306	1713	225	128	101	22	2	2	2047	1816	0.8871519296531509
17497	katpatuka	2012-09-01	629	573	562	57	25	23	6	0	0	692	585	0.8453757225433526
17497	katpatuka	2012-10-01	31	30	28	1	1	0	24	0	1	56	29	0.5178571428571429
17497	katpatuka	2012-11-01	4049	3566	3862	424	270	213	53	3	3	4526	4078	0.9010163499779055
17497	katpatuka	2012-12-01	1134	1121	1120	40	30	26	9	0	0	1183	1146	0.9687235841081995
17497	katpatuka	2013-01-01	96	93	84	28	24	17	0	0	0	124	101	0.8145161290322581
17497	katpatuka	2013-02-01	0	0	0	0	0	0	0	0	0	0	0	0
17497	katpatuka	2013-03-01	1110	1086	1067	71	60	41	19	0	0	1200	1108	0.9233333333333333
17497	katpatuka	2013-04-01	2700	2507	2509	316	234	173	21	1	2	3037	2684	0.8837668752057952
17497	katpatuka	2013-05-01	1334	1131	1310	179	127	114	27	3	2	1540	1426	0.925974025974026
17497	katpatuka	2013-06-01	0	0	0	0	0	0	0	0	0	0	0	0
17497	katpatuka	2013-07-01	3207	2969	3154	456	308	272	8	0	1	3671	3427	0.933533097248706
17497	katpatuka	2013-08-01	0	0	0	0	0	0	1	0	0	1	0	0
17497	katpatuka	2013-09-01	2	0	0	61	0	9	7	1	1	70	10	0.14285714285714285
17497	katpatuka	2013-10-01	2	3	2	11	0	3	10	0	1	23	6	0.2608695652173913
17497	katpatuka	2013-12-01	31	20	17	12	4	6	5	1	0	48	23	0.4791666666666667
17497	katpatuka	2014-01-01	4624	4463	4529	331	258	274	7	2	3	4962	4806	0.9685610640870617
17497	katpatuka	2014-02-01	2773	2742	2771	139	116	128	6	0	0	2918	2899	0.9934886908841672
17497	katpatuka	2014-03-01	0	0	0	0	0	0	3	0	0	3	0	0
17497	katpatuka	2014-04-01	673	589	658	111	62	51	16	0	0	800	709	0.88625
17497	katpatuka	2014-05-01	122	87	118	53	8	49	16	0	0	191	167	0.8743455497382199
17497	katpatuka	2014-06-01	43	32	42	26	2	21	9	0	1	78	64	0.8205128205128205
17497	katpatuka	2014-07-01	248	239	236	22	12	18	14	4	3	284	257	0.9049295774647887
17497	katpatuka	2014-08-01	0	0	0	0	0	0	3	0	0	3	0	0
17497	katpatuka	2014-09-01	480	426	473	160	55	131	11	0	2	651	606	0.9308755760368663
17497	katpatuka	2014-10-01	0	0	0	0	0	0	19	0	2	19	2	0.10526315789473684
17497	katpatuka	2014-11-01	0	0	0	0	0	0	4	0	0	4	0	0
17497	katpatuka	2014-12-01	28	2	27	16	0	13	1	0	0	45	40	0.8888888888888888
17497	katpatuka	2015-01-01	255	200	241	63	33	51	0	0	0	318	292	0.9182389937106918
17497	katpatuka	2015-02-01	0	0	0	0	0	0	1	0	0	1	0	0
17497	katpatuka	2015-03-01	0	0	0	0	0	0	0	0	0	0	0	0
17497	katpatuka	2015-04-01	0	0	0	0	0	0	19	0	0	19	0	0
17497	katpatuka	2015-06-01	0	0	0	1	0	1	4	0	0	5	1	0.2
17497	katpatuka	2015-07-01	23	0	19	0	0	0	10	0	0	33	19	0.5757575757575758
17497	katpatuka	2015-08-01	0	0	0	0	0	0	6	0	0	6	0	0
17497	katpatuka	2015-09-01	1305	1192	1302	240	149	226	10	0	1	1555	1529	0.9832797427652733
17497	katpatuka	2015-10-01	0	0	0	0	0	0	4	0	1	4	1	0.25
2027085	canTurgay	2014-04-01	15361	13790	14810	2223	1368	1296	9	1	0	17593	16106	0.915477746831126
2027085	canTurgay	2014-05-01	4732	4114	4672	733	489	599	1	0	0	5466	5271	0.964324917672887
2027085	canTurgay	2014-06-01	238	191	234	36	21	30	2	0	0	276	264	0.9565217391304348
2027085	canTurgay	2014-08-01	181	179	176	129	78	127	0	0	0	310	303	0.9774193548387097
2027085	canTurgay	2014-09-01	1086	990	1074	150	123	134	0	0	0	1236	1208	0.9773462783171522
2027085	canTurgay	2014-10-01	866	838	863	192	174	173	0	0	0	1058	1036	0.9792060491493384
2027085	canTurgay	2014-11-01	433	432	429	144	114	116	0	0	0	577	545	0.9445407279029463
2027085	canTurgay	2014-12-01	102	102	101	61	19	52	0	0	0	163	153	0.9386503067484663
2027085	canTurgay	2015-02-01	221	212	207	28	23	14	0	0	0	249	221	0.8875502008032129
2027085	canTurgay	2015-05-01	44	30	40	11	4	4	0	0	0	55	44	0.8
2027085	canTurgay	2015-06-01	2810	2546	2784	683	440	618	0	0	0	3493	3402	0.9739478957915831
2027085	canTurgay	2015-07-01	2628	2531	2623	571	455	537	0	0	0	3199	3160	0.9878086902156924
2027085	canTurgay	2015-08-01	5411	4854	5393	714	516	660	7	0	1	6132	6054	0.987279843444227
2027085	canTurgay	2015-09-01	269	240	268	28	21	27	1	0	1	298	296	0.9932885906040269
2027085	canTurgay	2015-10-01	342	342	341	16	15	16	0	0	0	358	357	0.9972067039106145
2027085	canTurgay	2015-11-01	58	33	57	7	1	7	5	0	5	70	69	0.9857142857142858
1587943	Sakthi20	2013-06-01	2661	2095	2406	2213	833	1235	0	0	0	4874	3641	0.7470250307755437
1587943	Sakthi20	2013-07-01	21634	15188	19674	13841	6003	9109	9	0	1	35484	28784	0.8111825047908917
2410326	EC95	2014-12-01	4042	4032	4026	1520	1191	1377	0	0	0	5562	5403	0.9714131607335491
2410326	EC95	2015-01-01	7843	7831	7792	2006	1382	1790	0	0	0	9849	9582	0.9728906487968322
2410326	EC95	2015-02-01	4957	4954	4954	929	771	879	0	0	0	5886	5833	0.990995582738702
2410326	EC95	2015-03-01	13318	13298	13295	3628	2952	3402	0	0	0	16946	16697	0.9853062669656556
2410326	EC95	2015-04-01	246	246	245	53	49	51	0	0	0	299	296	0.9899665551839465
1386706	nesim	2013-05-01	4	5	0	1	1	0	0	0	0	5	0	0
1386706	nesim	2013-06-01	751	734	670	129	41	12	0	0	0	880	682	0.775
1386706	nesim	2013-07-01	43	43	42	8	3	5	0	0	0	51	47	0.9215686274509803
1386706	nesim	2013-11-01	48	48	47	10	8	10	0	0	0	58	57	0.9827586206896551
1386706	nesim	2013-12-01	0	0	0	0	0	0	1	0	0	1	0	0
1386706	nesim	2014-01-01	791	735	771	153	102	104	0	0	0	944	875	0.926906779661017
1386706	nesim	2014-04-01	0	0	0	0	0	0	1	0	0	1	0	0
1386706	nesim	2014-06-01	29	30	29	7	5	5	0	0	0	36	34	0.9444444444444444
1386706	nesim	2014-08-01	530	469	520	134	84	113	0	0	0	664	633	0.9533132530120482
1386706	nesim	2014-09-01	1213	1078	1148	283	201	241	1	0	0	1497	1389	0.9278557114228457
1386706	nesim	2014-10-01	3866	3526	3765	885	576	793	3	0	2	4754	4560	0.9591922591501894
1386706	nesim	2014-11-01	2095	1806	1903	431	229	347	3	0	1	2529	2251	0.8900751285092922
1386706	nesim	2014-12-01	12243	10476	11610	2204	1243	1857	2	2	2	14449	13469	0.9321752370406257
1386706	nesim	2015-01-01	567	507	562	92	62	85	1	0	0	660	647	0.9803030303030303
1386706	nesim	2015-02-01	103	78	101	26	6	24	0	0	0	129	125	0.9689922480620154
1386706	nesim	2015-03-01	792	688	759	202	62	166	1	0	0	995	925	0.9296482412060302
1386706	nesim	2015-05-01	9	7	8	0	0	0	0	0	0	9	8	0.8888888888888888
1386706	nesim	2015-06-01	907	867	905	82	64	78	1	0	1	990	984	0.9939393939393939
1386706	nesim	2015-07-01	274	255	272	48	27	45	1	0	1	323	318	0.9845201238390093
1386706	nesim	2015-08-01	566	480	564	127	57	119	6	2	3	699	686	0.9814020028612304
1386706	nesim	2015-09-01	218	189	217	52	27	48	0	0	0	270	265	0.9814814814814815
1386706	nesim	2015-10-01	858	802	856	179	129	174	0	0	0	1037	1030	0.9932497589199615
1386706	nesim	2015-11-01	346	326	345	58	40	57	0	0	0	404	402	0.995049504950495
1386706	nesim	2015-12-01	2610	2360	2504	384	317	383	1	0	1	2995	2888	0.9642737896494157
1386706	nesim	2016-01-01	1724	1529	1704	363	217	356	11	7	11	2098	2071	0.9871306005719733
1587888	JOTH03	2013-06-01	2108	1521	1848	967	526	652	0	0	0	3075	2500	0.8130081300813008
1587888	JOTH03	2013-07-01	19234	13757	18098	8824	4608	6483	11	0	0	28069	24581	0.8757347963945991
621821	Oytun	2012-03-01	3971	2617	2704	1067	467	183	4	0	0	5042	2887	0.5725902419674732
621821	Oytun	2012-04-01	1455	1107	1113	291	136	56	0	0	0	1746	1169	0.6695303550973654
621821	Oytun	2012-05-01	386	271	284	58	22	12	0	0	0	444	296	0.6666666666666666
621821	Oytun	2012-07-01	731	668	628	247	87	29	0	0	0	978	657	0.6717791411042945
621821	Oytun	2012-08-01	1853	1469	1497	571	305	198	3	1	0	2427	1695	0.6983930778739185
621821	Oytun	2012-09-01	7493	5155	6645	1810	876	846	6	2	1	9309	7492	0.8048125469975292
621821	Oytun	2012-10-01	1070	825	921	196	96	35	1	0	0	1267	956	0.7545382794001578
621821	Oytun	2012-11-01	9	7	6	8	3	1	0	0	0	17	7	0.4117647058823529
621821	Oytun	2012-12-01	47	32	24	10	5	1	0	0	0	57	25	0.43859649122807015
621821	Oytun	2013-01-01	354	224	294	77	33	13	0	0	0	431	307	0.7122969837587007
621821	Oytun	2013-09-01	60	45	47	180	21	130	2	1	1	242	178	0.7355371900826446
621821	Oytun	2014-02-01	236	202	214	103	25	82	3	3	3	342	299	0.8742690058479532
621821	Oytun	2014-03-01	1263	929	1155	475	171	372	11	2	7	1749	1534	0.8770726129216695
621821	Oytun	2014-05-01	138	133	134	39	16	25	0	0	0	177	159	0.8983050847457628
621821	Oytun	2014-11-01	397	225	378	120	26	76	5	2	2	522	456	0.8735632183908046
621821	Oytun	2014-12-01	263	191	230	69	24	47	0	0	0	332	277	0.8343373493975904
621821	Oytun	2015-02-01	75	35	74	26	4	24	0	0	0	101	98	0.9702970297029703
621821	Oytun	2015-05-01	2	2	0	6	1	6	0	0	0	8	6	0.75
621821	Oytun	2015-06-01	134	111	131	62	22	42	0	0	0	196	173	0.8826530612244898
621821	Oytun	2015-07-01	2190	1957	2123	501	343	421	2	1	2	2693	2546	0.9454140363906424
621821	Oytun	2015-08-01	1707	960	1686	420	166	383	3	1	1	2130	2070	0.971830985915493
621821	Oytun	2016-01-01	7	6	6	3	2	3	0	0	0	10	9	0.9
1268089	Jalaludeen	2013-04-01	16359	14068	15613	3026	2360	1984	2	0	0	19387	17597	0.9076700882034353
1268089	Jalaludeen	2013-06-01	6684	3975	5107	2303	935	1325	0	0	0	8987	6432	0.7157004562145322
1268089	Jalaludeen	2013-07-01	90	67	81	38	16	21	0	0	0	128	102	0.796875
1679	andrewpmk	2008-09-01	0	0	0	0	0	0	0	0	0	0	0	0
1679	andrewpmk	2009-04-01	6459	6444	4850	1579	1342	210	0	0	0	8038	5060	0.6295098283155014
1679	andrewpmk	2009-05-01	11847	11719	8130	1840	1316	375	0	0	0	13687	8505	0.6213925622853803
1679	andrewpmk	2009-06-01	1243	1243	840	87	64	4	0	0	0	1330	844	0.6345864661654136
1679	andrewpmk	2009-07-01	635	583	265	144	103	2	0	0	0	779	267	0.3427471116816431
1679	andrewpmk	2009-08-01	3378	3285	2012	935	622	97	0	0	0	4313	2109	0.4889867841409692
1679	andrewpmk	2012-05-01	12	7	8	7	1	0	0	0	0	19	8	0.42105263157894735
1679	andrewpmk	2013-03-01	17	15	12	15	5	6	3	0	0	35	18	0.5142857142857142
1679	andrewpmk	2013-11-01	0	0	0	0	0	0	0	0	0	0	0	0
1679	andrewpmk	2014-08-01	1	0	0	0	0	0	0	0	0	1	0	0
1250401	VinothS	2013-03-01	8154	8083	7335	2449	1831	1010	0	0	0	10603	8345	0.7870414033764029
1250401	VinothS	2013-04-01	13669	13441	12532	3713	2724	2123	0	0	0	17382	14655	0.8431135657576804
1686268	gezginrocker	2013-08-01	6244	3375	4023	913	397	386	0	0	0	7157	4409	0.6160402403241582
1686268	gezginrocker	2013-09-01	12166	7369	10007	2575	1002	1372	19	2	3	14760	11382	0.7711382113821138
1686268	gezginrocker	2013-10-01	1424	707	1174	269	99	113	15	0	0	1708	1287	0.7535128805620609
1686268	gezginrocker	2013-11-01	1	1	0	0	0	0	0	0	0	1	0	0
1686268	gezginrocker	2013-12-01	0	0	0	1	0	1	0	0	0	1	1	1
1686268	gezginrocker	2014-04-01	1	0	0	1	0	1	0	0	0	2	1	0.5
1686268	gezginrocker	2014-08-01	16	14	13	2	1	2	0	0	0	18	15	0.8333333333333334
1686268	gezginrocker	2015-07-01	1	0	1	0	0	0	0	0	0	1	1	1
1293442	lingavel	2013-04-01	19508	15980	18523	3985	2303	2303	2	0	0	23495	20826	0.8864013619919132
1293407	Muruganantham	2013-04-01	16485	14641	15558	3815	2609	2459	26	0	0	20326	18017	0.8864016530552002
1292338	dheenadhayalan	2013-06-01	839	679	719	999	347	369	0	0	0	1838	1088	0.5919477693144722
1292338	dheenadhayalan	2013-07-01	11629	9519	10957	6468	3537	5119	12	0	1	18109	16077	0.8877906013584406
473445	Gero	2012-09-01	0	0	0	0	0	0	8	0	0	8	0	0
473445	Gero	2012-10-01	759	384	693	105	62	16	47	0	0	911	709	0.7782656421514819
473445	Gero	2012-11-01	410	284	340	97	64	45	11	0	1	518	386	0.7451737451737451
473445	Gero	2012-12-01	234	193	233	50	38	25	9	0	0	293	258	0.8805460750853242
473445	Gero	2013-01-01	0	0	0	2	0	0	9	0	0	11	0	0
473445	Gero	2013-02-01	0	0	0	0	0	0	5	0	0	5	0	0
473445	Gero	2013-03-01	0	0	0	0	0	0	3	0	0	3	0	0
473445	Gero	2013-04-01	0	0	0	0	0	0	0	0	0	0	0	0
473445	Gero	2013-05-01	0	0	0	0	0	0	18	0	0	18	0	0
473445	Gero	2013-06-01	3528	999	3016	2713	279	2107	12	1	4	6253	5127	0.8199264353110507
473445	Gero	2013-07-01	7895	6893	7792	1957	980	1741	22	0	0	9874	9533	0.9654648572007292
473445	Gero	2013-08-01	56	9	55	28	3	20	15	0	0	99	75	0.7575757575757576
473445	Gero	2013-09-01	1147	994	1146	55	32	42	8	6	6	1210	1194	0.9867768595041322
473445	Gero	2013-10-01	0	0	0	0	0	0	1	0	0	1	0	0
136321	Teddy73	2012-07-01	8433	6999	7270	717	450	288	102	1	0	9252	7558	0.8169044530912235
136321	Teddy73	2012-08-01	8539	4712	7695	1373	585	544	35	0	1	9947	8240	0.8283904694882879
1224362	yusufmert	2013-02-01	1147	1140	893	229	34	24	3	2	0	1379	917	0.6649746192893401
1224362	yusufmert	2013-03-01	253	244	95	193	22	32	2	0	0	448	127	0.28348214285714285
1224362	yusufmert	2013-04-01	0	0	0	0	0	0	0	0	0	0	0	0
1224362	yusufmert	2013-06-01	977	942	778	273	125	62	0	0	0	1250	840	0.672
1224362	yusufmert	2013-07-01	2613	2531	2052	1267	435	534	27	3	1	3907	2587	0.6621448681853084
1224362	yusufmert	2013-08-01	6777	6220	5724	2278	1362	1273	3	0	0	9058	6997	0.7724663281077501
1224362	yusufmert	2013-09-01	136	133	135	19	15	18	1	1	1	156	154	0.9871794871794872
1224362	yusufmert	2013-10-01	9	8	7	26	2	10	0	0	0	35	17	0.4857142857142857
1224362	yusufmert	2013-11-01	1263	1180	1226	441	218	337	3	0	1	1707	1564	0.9162272993555947
1224362	yusufmert	2013-12-01	8	7	8	5	1	3	0	0	0	13	11	0.8461538461538461
1253108	ALADDIN111	2013-06-01	3158	2363	2880	2451	783	1463	0	0	0	5609	4343	0.7742913175254056
1253108	ALADDIN111	2013-07-01	7676	5658	7189	4128	1743	3051	20	0	0	11824	10240	0.8660351826792964
1253065	hari t	2013-03-01	3532	3515	3322	1148	872	500	0	0	0	4680	3822	0.8166666666666667
1253065	hari t	2013-04-01	9138	9043	8206	3478	2310	2031	0	0	0	12616	10237	0.811429930247305
1293431	suresh ruban	2013-04-01	13506	13029	12791	3040	1962	1559	4	0	0	16550	14350	0.8670694864048338
1233267	vignesh anand	2013-03-01	4630	4583	3876	1737	1232	520	0	0	0	6367	4396	0.6904350557562431
1233267	vignesh anand	2013-04-01	7351	7214	6557	2674	1969	1443	0	0	0	10025	8000	0.7980049875311721
1238288	anand 2013	2013-04-01	11773	9062	10377	2574	1263	1018	2	0	0	14349	11395	0.7941319952609938
1274545	surendran1	2013-03-01	3947	3868	3564	1056	843	434	2	0	0	5005	3998	0.7988011988011988
