user_id	user_name	count	blankcount	v1count	firstedit	firsteditv1	firsteditblank	days_active	mean_date	mean_date_weighted
70696	xybot	220761	0	0	2009-09-21	NULL	NULL	12	2011-02-15	2010-10-12
143865	Francisco Castro	2219	10	2117	2009-07-09	2009-07-09	2009-07-09	13	2010-03-22	2009-11-15
144223	ratman26	208	0	189	2009-07-11	2009-07-11	NULL	6	2010-03-17	2009-07-19
384351	EkiZ	23498	5	20663	2010-12-17	2010-12-17	2010-12-24	36	2012-09-28	2014-04-03
1794485	Jose Viajero	217	0	137	2013-11-04	2013-11-04	NULL	8	2013-11-23	2013-11-14
671334	galusso	222	0	115	2012-05-11	2012-05-11	NULL	15	2012-06-02	2012-05-30
1233101	neluy1611	131	0	36	2014-09-15	2014-09-15	NULL	6	2014-11-04	2014-09-23
17497	katpatuka	5618	18	601	2008-12-25	2008-12-25	2008-12-25	2	2008-12-26	2008-12-25
2318	Latze	1414	0	1414	2011-07-31	2011-07-31	NULL	1	2011-07-31	2011-07-31
1340018	Urubras	570	0	320	2013-04-10	2013-04-11	NULL	3	2013-04-11	2013-04-12
15285	rabble	889	6	818	2009-06-22	2009-06-22	2009-07-12	5	2010-02-22	2010-06-17
129868	Natonata	828	34	771	2009-05-30	2009-06-04	2009-07-24	9	2009-07-05	2009-07-30
423330	Larifari77	197	0	197	2013-10-26	2013-10-26	NULL	6	2014-01-22	2014-01-26
47892	richlv	1721	0	1272	2010-09-02	2010-09-02	NULL	9	2010-09-25	2010-09-30
230366	felipeacsi	1311	17	1084	2010-02-18	2010-02-18	2010-02-18	7	2010-04-13	2010-02-24
573318	nelsonn	123	0	35	2011-12-23	2011-12-23	NULL	2	2012-07-31	2013-01-18
1708276	gerrios	372	0	245	2013-08-28	2013-08-28	NULL	29	2013-12-26	2013-12-13
1659126	Soccer_Dad	1280	0	182	2013-07-19	2013-07-19	NULL	4	2013-09-08	2013-09-28
138913	dklight	3788	13	3449	2009-06-25	2009-06-25	2009-07-06	17	2009-07-11	2009-07-14
2525628	pistolero mocoso	150	0	149	2014-12-17	2014-12-17	NULL	5	2014-12-21	2014-12-18
125041	Zeroth	62414	816	51454	2009-05-29	2009-05-29	2009-05-31	96	2010-02-11	2009-11-26
683270	ilignelli	7985	0	6915	2012-05-16	2012-05-16	NULL	9	2012-06-23	2012-05-27
149876	dbusse	397	0	190	2012-04-06	2012-04-16	NULL	10	2012-10-07	2012-09-05
755114	muralito	120379	53	87483	2012-07-26	2012-07-26	2012-09-08	446	2013-10-02	2013-03-28
385027	Ori952	708	0	449	2013-03-16	2013-03-16	NULL	1	2013-03-16	2013-03-16
305443	DanielLobo	559	4	435	2010-06-17	2010-06-17	2010-07-09	8	2010-08-18	2010-08-22
308	MichaelCollinson	187	0	184	2008-11-05	2008-11-23	NULL	3	2010-08-08	2013-12-23
66116	astiam	220	9	148	2008-09-06	2008-09-06	2008-09-06	3	2009-04-01	2008-12-13
54082	Voltaire	1062	17	272	2008-11-13	2008-11-13	2008-11-13	1	2008-11-12	2008-11-12
226559	mardar	6197	0	64	2011-06-20	2011-06-20	NULL	3	2012-04-13	2013-05-06
6270	mikes	1596	180	1596	2007-11-01	2007-11-01	2007-11-01	2	2007-12-21	2007-10-31
250000	Mauricio Campiglia	849	12	680	2010-03-21	2010-03-21	2010-03-22	13	2011-04-04	2011-04-16
55730	MaxM	328661	93	328588	2010-09-18	2010-09-18	2010-09-18	5	2010-10-02	2010-10-03
380089	ingenios	183	0	20	2010-12-05	2010-12-05	NULL	3	2010-12-26	2011-01-04
211657	pablopareja	1001	0	525	2010-09-17	2010-09-17	NULL	4	2010-10-09	2010-10-11
775671	naregkiz	377	0	178	2012-08-02	2012-08-02	NULL	20	2012-12-06	2012-10-08
1397001	ktouy	158	0	104	2013-04-27	2013-04-27	NULL	1	2013-04-27	2013-04-27
121415	edvac	772	0	612	2014-11-12	2014-11-12	NULL	7	2014-11-19	2014-11-19
220415	Ein	285	0	162	2010-01-17	2010-01-17	NULL	26	2012-07-12	2012-10-22
210371	miozzo	186	0	177	2010-01-18	2010-01-25	NULL	7	2010-06-05	2010-09-20
2309684	acuster	902	0	799	2014-09-03	2014-09-03	NULL	4	2014-10-05	2014-09-15
51324	OPerivar	1640	0	1247	2011-11-13	2011-11-13	NULL	5	2011-12-25	2011-12-25
379675	Hoverfish	3900	14	3358	2011-05-11	2011-05-11	2011-05-11	6	2011-05-18	2011-05-12
5359	user_5359	258	0	0	2011-04-10	NULL	NULL	1	2011-04-10	2011-04-10
275821	Ramzes	192	0	36	2011-04-10	2011-04-10	NULL	3	2011-04-12	2011-04-13
92274	adjuva	1	0	0	2013-02-05	NULL	NULL	1	2013-02-04	2013-02-04
522978	asdf1234	1	0	1	2011-09-16	2011-09-16	NULL	1	2011-09-16	2011-09-16
31385	Skippern	1	1	1	2014-05-23	2014-05-23	2014-05-23	1	2014-05-23	2014-05-23
582025	Hashing	1	0	1	2012-01-09	2012-01-09	NULL	1	2012-01-08	2012-01-08
1099966	LAKD	1	0	0	2012-11-30	NULL	NULL	1	2012-11-30	2012-11-30
454589	sabas88	1	0	0	2014-01-02	NULL	NULL	1	2014-01-02	2014-01-02
436182	apor	1	0	1	2011-04-12	2011-04-12	NULL	1	2011-04-12	2011-04-12
722137	OSMF Redaction Account	82	0	0	2012-07-19	NULL	NULL	1	2012-07-19	2012-07-19
2500	jamesks	36	11	36	2008-09-12	2008-09-12	2008-09-12	1	2008-09-12	2008-09-12
492271	maax	33	0	19	2011-07-19	2011-07-19	NULL	1	2011-07-19	2011-07-19
1811853	olaf1000	2	0	0	2014-04-04	NULL	NULL	2	2014-04-26	2014-04-26
544773	Fmarta	26	0	8	2011-10-28	2011-10-28	NULL	6	2011-11-15	2011-11-15
1765160	bruneti12	88	0	88	2013-10-04	2013-10-04	NULL	1	2013-10-04	2013-10-04
1786621	ecosdamontanha	30	0	30	2014-10-23	2014-10-23	NULL	1	2014-10-23	2014-10-23
571796	fdavoine	61	0	58	2011-12-24	2011-12-24	NULL	6	2013-07-07	2013-04-27
2206701	bleierbega	31	0	26	2014-08-15	2014-08-15	NULL	3	2014-08-18	2014-08-18
1241595	Runis	2	0	0	2013-05-14	NULL	NULL	1	2013-05-14	2013-05-14
338345	BrunoX	33	0	24	2010-08-25	2010-08-25	NULL	5	2012-07-17	2013-03-23
1311126	Viryi777	2	0	1	2013-03-28	2013-03-28	NULL	1	2013-03-28	2013-03-28
2296096	dtierra	2	0	0	2014-08-28	NULL	NULL	1	2014-08-28	2014-08-28
1235041	Alexdla	2	0	2	2014-03-11	2014-03-11	NULL	1	2014-03-11	2014-03-11
169397	carlos90its	23	2	22	2009-09-09	2009-09-09	2009-09-09	4	2012-05-09	2010-02-25
233173	gonchi	71	0	0	2010-02-15	NULL	NULL	1	2010-02-14	2010-02-14
290680	wheelmap_visitor	38	0	0	2011-02-24	NULL	NULL	10	2012-01-11	2012-04-12
274869	pablob	26	0	11	2010-04-25	2010-04-25	NULL	1	2010-04-25	2010-04-25
336460	robgeb	61	0	23	2012-10-18	2012-10-18	NULL	1	2012-10-18	2012-10-18
464580	Alberto Damiano	24	0	24	2011-06-02	2011-06-02	NULL	1	2011-06-02	2011-06-02
1768088	Moneero SA	2	0	2	2013-10-11	2013-10-11	NULL	1	2013-10-11	2013-10-11
658804	jesusdanielportillo	2	0	1	2012-04-13	2012-04-13	NULL	1	2012-04-13	2012-04-13
614090	Aldo Coll	2	0	1	2012-03-01	2012-03-01	NULL	1	2012-03-01	2012-03-01
518623	Cacha21	55	0	29	2011-09-08	2011-09-08	NULL	2	2011-09-09	2011-09-08
694400	WesGie	90	0	75	2012-06-20	2012-06-20	NULL	2	2012-06-21	2012-06-20
505667	Bullroarer	55	0	55	2012-08-05	2012-08-05	NULL	1	2012-08-05	2012-08-05
395522	guilleup	30	0	21	2011-01-15	2011-01-15	NULL	3	2011-01-18	2011-01-14
2060588	Bitcoin Uruguay	2	0	2	2014-05-05	2014-05-05	NULL	1	2014-05-04	2014-05-04
64212	mikeschneider	23	0	23	2009-10-08	2009-10-08	NULL	1	2009-10-08	2009-10-08
521407	Estudios del Discurso	2	0	2	2011-09-13	2011-09-13	NULL	1	2011-09-13	2011-09-13
1244902	mario68uy	2	0	2	2013-03-01	2013-03-01	NULL	1	2013-03-01	2013-03-01
1873953	Nestor Masci	28	0	15	2014-01-08	2014-01-08	NULL	3	2014-04-29	2014-01-21
2026866	CAROLINAERRA	2	0	2	2014-04-11	2014-04-11	NULL	1	2014-04-11	2014-04-11
267563	Gustavo Castro	33	0	0	2010-04-16	NULL	NULL	1	2010-04-16	2010-04-16
595092	Feippe	107	0	62	2013-11-28	2013-11-28	NULL	1	2013-11-28	2013-11-28
682632	gabt	34	0	31	2013-06-14	2013-06-14	NULL	1	2013-06-14	2013-06-14
943942	Thomas Fisher	2	0	2	2012-10-03	2012-10-03	NULL	1	2012-10-03	2012-10-03
1164	dmgroom	104	0	85	2010-03-22	2010-03-22	NULL	2	2010-03-22	2010-03-21
575545	ipworkers	45	0	41	2012-01-18	2012-01-18	NULL	2	2012-02-12	2012-03-02
757369	gnande	2	0	2	2012-07-24	2012-07-24	NULL	1	2012-07-24	2012-07-24
675119	Germán Brea	2	0	0	2012-05-05	NULL	NULL	1	2012-05-05	2012-05-05
44221	dcp	32	0	0	2013-01-24	NULL	NULL	1	2013-01-24	2013-01-24
416346	Brian@Brea	2	0	0	2014-01-17	NULL	NULL	1	2014-01-16	2014-01-16
24965	Ævar Arnfjörð Bjarmason	1	0	0	2009-09-06	NULL	NULL	1	2009-09-06	2009-09-06
2186124	franpri	1	0	0	2014-07-14	NULL	NULL	1	2014-07-14	2014-07-14
1732547	sebaxyz	1	0	1	2013-09-03	2013-09-03	NULL	1	2013-09-02	2013-09-02
181135	Manu1400	1	0	0	2013-05-02	NULL	NULL	1	2013-05-02	2013-05-02
513141	geoalvaro08	119	0	104	2011-08-28	2011-08-28	NULL	1	2011-08-28	2011-08-28
637243	eamestoy	1	0	1	2012-03-23	2012-03-23	NULL	1	2012-03-23	2012-03-23
10610	RedFox	1	0	0	2009-08-04	NULL	NULL	1	2009-08-04	2009-08-04
44638	tkschwippetal	1	0	1	2009-01-24	2009-01-24	NULL	1	2009-01-24	2009-01-24
79543	fbello	2	1	1	2011-04-28	2011-04-28	2011-04-28	1	2011-04-28	2011-04-28
152074	beweta	1	0	0	2013-11-02	NULL	NULL	1	2013-11-02	2013-11-02
496048	uyfc	1	0	0	2011-07-26	NULL	NULL	1	2011-07-26	2011-07-26
331207	vala	1	0	1	2010-08-11	2010-08-11	NULL	1	2010-08-11	2010-08-11
626646	Jcalleja	1	0	1	2012-03-13	2012-03-13	NULL	1	2012-03-12	2012-03-12
